gps_sow,  rssi, ber
392254.8100,  -72, 0.0
392255.0600,  -72, 0.0
392255.4700,  -72, 0.0
392255.5600,  -73, 0.0
392255.8200,  -74, 0.0
392256.0600,  -80, 0.0
392256.3300,  -78, 0.0
392256.5700,  -80, 0.0
392256.8200,  -80, 0.0
392257.0700,  -76, 0.0
392257.3100,  -81, 0.0
392257.5700,  -74, 0.0
392257.8200,  -74, 0.0
392258.1000,  -78, 0.0
392258.3200,  -67, 0.0
392259.0400,  -72, 0.0
392259.2900,  -79, 0.0
392259.3500,  -72, 0.0
392259.3510,  -73, 0.0
392259.4000,  -68, 0.0
392259.4010,  -68, 0.0
392259.4100,  -66, 0.0
392259.5700,  -75, 0.0
392259.8300,  -74, 0.0
392260.0900,  -72, 0.0
392260.0910,  -71, 0.0
392260.1000,  -72, 0.0
392260.1100,  -71, 0.0
392260.3200,  -73, 0.0
392260.5700,  -72, 0.0
392260.8600,  -72, 0.0
392261.1000,  -73, 0.0
392261.3300,  -79, 0.0
392261.5800,  -71, 0.0
392261.8300,  -73, 0.0
392262.1000,  -75, 0.0
392262.3300,  -74, 0.0
392262.5800,  -72, 0.0
392262.8300,  -72, 0.0
392263.0900,  -70, 0.0
392263.3500,  -77, 0.0
392263.3600,  -79, 0.0
392263.3900,  -80, 0.0
392263.5800,  -72, 0.0
392263.8400,  -73, 0.0
392264.0900,  -71, 0.0
392264.3400,  -72, 0.0
392264.5900,  -69, 0.0
392264.8300,  -71, 0.0
392265.1100,  -73, 0.0
392265.3400,  -74, 0.0
392265.5900,  -75, 0.0
392265.8400,  -71, 0.0
392265.8600,  -71, 0.0
392266.1000,  -74, 0.0
392266.5900,  -72, 0.0
392266.8500,  -80, 0.0
392266.8600,  -81, 0.0
392267.1000,  -74, 0.0
392267.3400,  -71, 0.0
392267.6100,  -67, 0.0
392267.8500,  -71, 0.0
392267.8700,  -72, 0.0
392268.1000,  -72, 0.0
392268.3500,  -72, 0.0
392268.6300,  -70, 0.0
392268.8500,  -71, 0.0
392269.1000,  -72, 0.0
392269.3500,  -71, 0.0
392269.6000,  -68, 0.0
