gps_sow,  rssi, ber
392249.3,  -72, 0.0
392249.55,  -71, 0.0
392249.85,  -71, 0.0
392250.05,  -72, 0.0
392250.3,  -72, 0.0
392250.31,  -72, 0.0
392250.32,  -72, 0.0
392250.55,  -72, 0.0
392250.8,  -73, 0.0
392251.13,  -79, 0.0
392251.3,  -75, 0.0
392251.56,  -71, 0.0
392251.83,  -70, 0.0
392252.06,  -72, 0.0
392252.32,  -69, 0.0
392252.55,  -69, 0.0
392252.81,  -72, 0.0
392253.06,  -73, 0.0
392253.31,  -75, 0.0
392253.57,  -72, 0.0
392253.84,  -73, 0.0
392254.06,  -70, 0.0
392254.31,  -71, 0.0
392254.59,  -73, 0.0
392254.81,  -72, 0.0
392255.06,  -72, 0.0
392255.47,  -72, 0.0
392255.56,  -73, 0.0
392255.82,  -74, 0.0
392256.06,  -80, 0.0
392256.33,  -78, 0.0
392256.57,  -80, 0.0
392256.82,  -80, 0.0
392257.07,  -76, 0.0
392257.31,  -81, 0.0
392257.57,  -74, 0.0
392257.82,  -74, 0.0
392258.1,  -78, 0.0
392258.32,  -67, 0.0
392259.04,  -72, 0.0
392259.29,  -79, 0.0
392259.35,  -72, 0.0
392259.35,  -73, 0.0
392259.4,  -68, 0.0
392259.4,  -68, 0.0
392259.41,  -66, 0.0
392259.57,  -75, 0.0
392259.83,  -74, 0.0
392260.09,  -72, 0.0
392260.09,  -71, 0.0
392260.1,  -72, 0.0
392260.11,  -71, 0.0
392260.32,  -73, 0.0
392260.57,  -72, 0.0
392260.86,  -72, 0.0
392261.1,  -73, 0.0
392261.33,  -79, 0.0
392261.58,  -71, 0.0
392261.83,  -73, 0.0
392262.1,  -75, 0.0
392262.33,  -74, 0.0
392262.58,  -72, 0.0
392262.83,  -72, 0.0
392263.09,  -70, 0.0
392263.35,  -77, 0.0
392263.36,  -79, 0.0
392263.39,  -80, 0.0
392263.58,  -72, 0.0
392263.84,  -73, 0.0
392264.09,  -71, 0.0
392264.34,  -72, 0.0
392264.59,  -69, 0.0
392264.83,  -71, 0.0
392265.11,  -73, 0.0
392265.34,  -74, 0.0
392265.59,  -75, 0.0
392265.84,  -71, 0.0
392265.86,  -71, 0.0
392266.1,  -74, 0.0
392266.59,  -72, 0.0
392266.85,  -80, 0.0
392266.86,  -81, 0.0
392267.1,  -74, 0.0
392267.34,  -71, 0.0
392267.61,  -67, 0.0
392267.85,  -71, 0.0
392267.87,  -72, 0.0
392268.1,  -72, 0.0
392268.35,  -72, 0.0
392268.63,  -70, 0.0
392268.85,  -71, 0.0
392269.1,  -72, 0.0
392269.35,  -71, 0.0
392269.6,  -68, 0.0
392269.85,  -76, 0.0
392270.1,  -71, 0.0
392270.35,  -77, 0.0
392270.6,  -74, 0.0
392270.87,  -73, 0.0
392270.88,  -75, 0.0
392270.9,  -74, 0.0
392271.1,  -77, 0.0
392271.36,  -74, 0.0
392271.61,  -69, 0.0
392271.85,  -80, 0.0
392271.86,  -79, 0.0
392271.89,  -79, 0.0
392272.11,  -77, 0.0
392272.36,  -79, 0.0
392272.61,  -76, 0.0
392272.9,  -69, 0.0
392273.11,  -70, 0.0
392273.12,  -70, 0.0
392273.36,  -68, 0.0
392273.61,  -69, 0.0
392273.62,  -68, 0.0
392273.63,  -70, 0.0
392273.86,  -72, 0.0
392273.87,  -71, 0.0
392274.11,  -63, 0.0
392274.12,  -65, 0.0
392274.36,  -71, 0.0
392274.61,  -61, 0.0
392274.88,  -66, 0.0
392275.11,  -56, 0.0
392275.36,  -58, 0.0
392275.37,  -61, 0.0
392275.62,  -56, 0.0
392275.86,  -55, 0.0
392276.16,  -51, 0.0
392276.36,  -50, 0.0
392276.62,  -49, 0.0
392276.87,  -48, 0.0
392277.37,  -49, 0.0
392277.62,  -51, 0.0
392277.87,  -50, 0.0
392278.12,  -54, 0.0
392278.37,  -56, 0.0
392278.62,  -61, 0.0
392278.87,  -65, 0.0
392279.12,  -62, 0.0
392279.4,  -66, 0.0
392279.63,  -61, 0.0
392279.63,  -63, 0.0
392279.64,  -66, 0.0
392279.65,  -63, 0.0
392279.66,  -64, 0.0
392279.88,  -67, 0.0
392279.89,  -67, 0.0
392280.13,  -68, 0.0
392280.38,  -66, 0.0
392280.63,  -64, 0.0
392280.88,  -68, 0.0
392281.13,  -65, 0.0
392281.63,  -62, 0.0
392281.88,  -62, 0.0
392282.13,  -62, 0.0
392282.38,  -66, 0.0
392282.44,  -65, 0.0
392282.63,  -61, 0.0
392282.88,  -64, 0.0
392283.13,  -62, 0.0
392283.38,  -64, 0.0
392283.66,  -62, 0.0
392283.89,  -60, 0.0
392284.14,  -62, 0.0
392284.14,  -62, 0.0
392284.39,  -61, 0.0
392284.64,  -60, 0.0
392284.67,  -60, 0.0
392284.89,  -60, 0.0
392284.9,  -61, 0.0
392285.14,  -62, 0.0
392285.39,  -60, 0.0
392285.89,  -60, 0.0
392285.9,  -61, 0.0
392285.91,  -62, 0.0
392286.14,  -62, 0.0
392286.39,  -63, 0.0
392286.64,  -63, 0.0
392286.65,  -61, 0.0
392286.9,  -62, 0.0
392287.14,  -61, 0.0
392287.39,  -61, 0.0
392287.64,  -64, 0.0
392287.65,  -63, 0.0
392287.66,  -62, 0.0
392287.9,  -62, 0.0
392288.15,  -62, 0.0
392288.4,  -63, 0.0
392288.65,  -62, 0.0
392288.9,  -62, 0.0
392289.15,  -63, 0.0
392289.4,  -65, 0.0
392289.65,  -64, 0.0
392289.91,  -66, 0.0
392290.15,  -66, 0.0
392290.41,  -67, 0.0
392290.66,  -68, 0.0
392290.91,  -69, 0.0
392290.97,  -68, 0.0
392291.16,  -68, 0.0
392291.41,  -68, 0.0
392291.66,  -69, 0.0
392291.9,  -68, 0.0
392291.91,  -70, 0.0
392292.19,  -68, 0.0
392292.41,  -68, 0.0
392292.65,  -69, 0.0
392292.7,  -69, 0.0
392292.91,  -70, 0.0
392293.41,  -69, 0.0
392293.66,  -70, 0.0
392293.91,  -71, 0.0
392294.19,  -68, 0.0
392294.41,  -68, 0.0
392294.67,  -76, 0.0
392294.92,  -68, 0.0
392295.17,  -66, 0.0
392295.17,  -66, 0.0
392295.18,  -66, 0.0
392295.19,  -66, 0.0
392295.19,  -66, 0.0
392295.41,  -65, 0.0
392295.67,  -73, 0.0
392295.92,  -66, 0.0
392296.17,  -63, 0.0
392296.46,  -66, 0.0
392296.67,  -63, 0.0
392296.67,  -66, 0.0
392296.93,  -68, 0.0
392296.94,  -67, 0.0
392296.98,  -65, 0.0
392297.17,  -67, 0.0
392297.43,  -66, 0.0
392297.67,  -66, 0.0
392297.68,  -67, 0.0
392297.73,  -65, 0.0
392297.92,  -68, 0.0
392298.17,  -67, 0.0
392298.42,  -69, 0.0
392298.68,  -67, 0.0
392298.7,  -67, 0.0
392298.92,  -65, 0.0
392299.18,  -63, 0.0
392299.43,  -64, 0.0
392299.43,  -66, 0.0
392299.44,  -68, 0.0
392299.69,  -62, 0.0
392299.93,  -70, 0.0
392300.18,  -64, 0.0
392300.19,  -64, 0.0
392300.2,  -64, 0.0
392300.2,  -67, 0.0
392300.43,  -69, 0.0
392300.44,  -67, 0.0
392300.69,  -64, 0.0
392300.93,  -68, 0.0
392301.18,  -68, 0.0
392301.43,  -63, 0.0
392301.68,  -63, 0.0
392301.93,  -65, 0.0
392301.94,  -62, 0.0
392301.95,  -63, 0.0
392301.95,  -63, 0.0
392302.18,  -66, 0.0
392302.44,  -62, 0.0
392302.69,  -66, 0.0
392302.95,  -64, 0.0
392302.98,  -66, 0.0
392303.19,  -65, 0.0
392303.44,  -65, 0.0
392303.69,  -63, 0.0
392303.69,  -63, 0.0
392303.94,  -66, 0.0
392304.19,  -62, 0.0
392304.43,  -65, 0.0
392304.69,  -63, 0.0
392304.71,  -65, 0.0
392304.94,  -64, 0.0
392305.19,  -63, 0.0
392305.45,  -65, 0.0
392305.45,  -64, 0.0
392305.46,  -65, 0.0
392305.48,  -64, 0.0
392305.69,  -62, 0.0
392305.7,  -65, 0.0
392305.71,  -62, 0.0
392305.71,  -64, 0.0
392305.94,  -63, 0.0
392306.19,  -65, 0.0
392306.45,  -64, 0.0
392306.7,  -63, 0.0
392306.95,  -65, 0.0
392307.21,  -66, 0.0
392307.22,  -66, 0.0
392307.45,  -66, 0.0
392307.7,  -64, 0.0
392307.95,  -68, 0.0
392307.96,  -68, 0.0
392307.97,  -67, 0.0
392308.2,  -68, 0.0
392308.22,  -68, 0.0
392308.46,  -67, 0.0
392308.7,  -63, 0.0
392308.95,  -61, 0.0
392309.2,  -64, 0.0
392309.45,  -66, 0.0
392309.7,  -66, 0.0
392309.96,  -65, 0.0
392310.2,  -62, 0.0
392310.45,  -62, 0.0
392310.71,  -62, 0.0
392310.96,  -61, 0.0
392311.21,  -61, 0.0
392311.46,  -60, 0.0
392311.47,  -62, 0.0
392311.71,  -60, 0.0
392311.96,  -64, 0.0
392312.21,  -60, 0.0
392312.46,  -64, 0.0
392312.71,  -64, 0.0
392312.96,  -62, 0.0
392313.21,  -61, 0.0
392313.22,  -62, 0.0
392313.47,  -61, 0.0
392313.72,  -65, 0.0
392313.96,  -60, 0.0
392313.97,  -59, 0.0
392313.98,  -61, 0.0
392314.21,  -61, 0.0
392314.22,  -62, 0.0
392314.23,  -62, 0.0
392314.24,  -61, 0.0
392314.47,  -60, 0.0
392314.71,  -63, 0.0
392314.97,  -60, 0.0
392315.22,  -63, 0.0
392315.47,  -71, 0.0
392315.72,  -79, 0.0
392315.73,  -80, 0.0
392315.97,  -72, 0.0
392315.98,  -74, 0.0
392315.99,  -72, 0.0
392316.22,  -65, 0.0
392316.47,  -60, 0.0
392316.72,  -54, 0.0
392316.97,  -56, 0.0
392317.22,  -52, 0.0
392317.47,  -53, 0.0
392317.73,  -56, 0.0
392317.98,  -58, 0.0
392318.23,  -55, 0.0
392318.48,  -52, 0.0
392318.49,  -52, 0.0
392318.73,  -58, 0.0
392318.98,  -55, 0.0
392319.24,  -55, 0.0
392319.48,  -53, 0.0
392319.73,  -49, 0.0
392319.98,  -56, 0.0
392319.99,  -55, 0.0
392320.24,  -69, 0.0
392320.24,  -66, 0.0
392320.49,  -68, 0.0
392320.73,  -65, 0.0
392320.98,  -64, 0.0
392320.99,  -62, 0.0
392321.23,  -63, 0.0
392321.48,  -64, 0.0
392321.74,  -66, 0.0
392321.75,  -65, 0.0
392321.75,  -63, 0.0
392321.76,  -63, 0.0
392321.99,  -63, 0.0
392322.24,  -62, 0.0
392322.5,  -63, 0.0
392322.51,  -63, 0.0
392322.74,  -67, 0.0
392322.75,  -67, 0.0
392322.76,  -65, 0.0
392322.76,  -67, 0.0
392322.99,  -70, 0.0
392323.25,  -69, 0.0
392323.26,  -67, 0.0
392323.5,  -65, 0.0
392323.74,  -64, 0.0
392323.99,  -64, 0.0
392324.24,  -61, 0.0
392324.49,  -61, 0.0
392324.74,  -60, 0.0
392325.0,  -60, 0.0
392325.24,  -59, 0.0
392325.5,  -60, 0.0
392325.5,  -60, 0.0
392325.77,  -59, 0.0
392326.0,  -60, 0.0
392326.25,  -66, 0.0
392326.5,  -62, 0.0
392326.78,  -60, 0.0
392327.0,  -61, 0.0
392327.0,  -61, 0.0
392327.01,  -60, 0.0
392327.25,  -60, 0.0
392327.5,  -61, 0.0
392327.75,  -61, 0.0
392328.0,  -60, 0.0
392328.25,  -61, 0.0
392328.5,  -61, 0.0
392328.51,  -60, 0.0
392328.76,  -58, 0.0
392329.01,  -59, 0.0
392329.25,  -58, 0.0
392329.5,  -59, 0.0
392329.51,  -57, 0.0
392329.53,  -59, 0.0
392329.76,  -59, 0.0
392330.01,  -59, 0.0
392330.26,  -57, 0.0
392330.51,  -59, 0.0
392330.76,  -60, 0.0
392331.04,  -61, 0.0
392331.26,  -61, 0.0
392331.51,  -62, 0.0
392331.76,  -63, 0.0
392332.01,  -68, 0.0
392332.02,  -68, 0.0
392332.26,  -73, 0.0
392332.27,  -72, 0.0
392332.29,  -73, 0.0
392332.53,  -81, 0.0
392332.77,  -85, 0.0
392333.26,  -80, 0.0
392333.52,  -79, 0.0
392333.56,  -78, 0.0
392333.77,  -73, 0.0
392334.02,  -67, 0.0
392334.02,  -68, 0.0
392334.03,  -70, 0.0
392334.04,  -68, 0.0
392334.27,  -67, 0.0
392334.52,  -64, 0.0
392334.53,  -65, 0.0
392334.55,  -66, 0.0
392334.56,  -65, 0.0
392334.77,  -65, 0.0
392335.02,  -64, 0.0
392335.3,  -64, 0.0
392335.31,  -66, 0.0
392335.52,  -67, 0.0
392335.77,  -69, 0.0
392336.02,  -67, 0.0
392336.52,  -68, 0.0
392336.78,  -68, 0.0
392337.03,  -67, 0.0
392337.28,  -67, 0.0
392337.53,  -69, 0.0
392337.54,  -69, 0.0
392337.78,  -69, 0.0
392338.03,  -67, 0.0
392338.28,  -69, 0.0
392338.53,  -70, 0.0
392338.78,  -68, 0.0
392339.04,  -67, 0.0
392339.07,  -68, 0.0
392339.28,  -69, 0.0
392339.79,  -70, 0.0
392340.04,  -75, 0.0
392340.05,  -73, 0.0
392340.29,  -76, 0.0
392340.53,  -84, 0.0
392340.84,  -78, 0.0
392341.04,  -79, 0.0
392341.29,  -75, 0.0
392341.29,  -76, 0.0
392341.79,  -74, 0.0
392342.04,  -74, 0.0
392342.29,  -72, 0.0
392342.54,  -68, 0.0
392342.8,  -65, 0.0
392343.04,  -64, 0.0
392343.29,  -67, 0.0
392343.3,  -68, 0.0
392343.31,  -67, 0.0
392343.54,  -72, 0.0
392343.85,  -69, 0.0
392344.05,  -68, 0.0
392344.05,  -68, 0.0
392344.07,  -67, 0.0
392344.07,  -68, 0.0
392344.3,  -62, 0.0
392344.31,  -62, 0.0
392344.32,  -61, 0.0
392344.55,  -62, 0.0
392344.8,  -59, 0.0
392345.04,  -59, 0.0
392345.05,  -57, 0.0
392345.06,  -58, 0.0
392345.29,  -56, 0.0
392345.55,  -56, 0.0
392345.8,  -61, 0.0
392345.82,  -61, 0.0
392346.05,  -60, 0.0
392346.3,  -64, 0.0
392346.55,  -74, 0.0
392346.56,  -74, 0.0
392346.81,  -67, 0.0
392347.05,  -61, 0.0
392347.3,  -59, 0.0
392347.55,  -58, 0.0
392347.8,  -59, 0.0
392348.05,  -60, 0.0
392348.31,  -62, 0.0
392348.31,  -61, 0.0
392348.32,  -63, 0.0
392348.56,  -64, 0.0
392348.57,  -65, 0.0
392348.81,  -63, 0.0
392349.05,  -61, 0.0
392349.31,  -62, 0.0
392349.32,  -62, 0.0
392349.33,  -61, 0.0
392349.33,  -63, 0.0
392349.56,  -59, 0.0
392349.81,  -59, 0.0
392350.06,  -58, 0.0
392350.31,  -58, 0.0
392350.32,  -58, 0.0
392350.56,  -62, 0.0
392350.82,  -62, 0.0
392350.83,  -64, 0.0
392350.85,  -64, 0.0
392351.08,  -62, 0.0
392351.32,  -63, 0.0
392351.57,  -65, 0.0
392351.82,  -69, 0.0
392352.07,  -71, 0.0
392352.35,  -72, 0.0
392352.57,  -77, 0.0
392352.58,  -75, 0.0
392352.58,  -77, 0.0
392352.59,  -79, 0.0
392352.82,  -71, 0.0
392352.83,  -72, 0.0
392353.08,  -71, 0.0
392353.32,  -71, 0.0
392353.58,  -72, 0.0
392353.59,  -73, 0.0
392353.61,  -73, 0.0
392353.82,  -68, 0.0
392354.08,  -68, 0.0
392354.81,  -65, 0.0
392354.83,  -61, 0.0
392354.84,  -63, 0.0
392354.88,  -61, 0.0
392355.07,  -63, 0.0
392355.34,  -62, 0.0
392355.35,  -62, 0.0
392355.58,  -63, 0.0
392355.83,  -62, 0.0
392356.08,  -60, 0.0
392356.33,  -61, 0.0
392356.34,  -63, 0.0
392356.35,  -61, 0.0
392356.58,  -60, 0.0
392356.83,  -65, 0.0
392357.09,  -62, 0.0
392357.33,  -62, 0.0
392357.58,  -69, 0.0
392357.83,  -62, 0.0
392358.09,  -61, 0.0
392358.1,  -63, 0.0
392358.34,  -64, 0.0
392358.59,  -63, 0.0
392358.84,  -66, 0.0
392359.09,  -66, 0.0
392359.34,  -66, 0.0
392359.34,  -64, 0.0
392359.59,  -61, 0.0
392359.61,  -62, 0.0
392359.84,  -60, 0.0
392360.09,  -62, 0.0
392360.34,  -63, 0.0
392360.59,  -64, 0.0
392360.61,  -62, 0.0
392360.62,  -61, 0.0
392360.84,  -63, 0.0
392361.09,  -65, 0.0
392361.34,  -64, 0.0
392361.35,  -65, 0.0
392361.35,  -65, 0.0
392361.36,  -65, 0.0
392361.59,  -64, 0.0
392361.84,  -66, 0.0
